date,exports,domestic_exports,imports,total_trade,balance_of_trade,series
1/1/2022,111060.0094,91390.60703,92822.47444,203882.4838,18237.53496,abs
2/1/2022,101741.7363,83898.87122,82589.28134,184331.0177,19152.45501,abs
3/1/2022,131488.1158,106930.3962,105244.0682,236732.184,26244.0475,abs
4/1/2022,127482.8726,103415.7576,104107.4658,231590.3384,23375.40678,abs
5/1/2022,120589.6419,96240.94113,107791.3389,228380.9808,12798.30301,abs
6/1/2022,144275.4653,110621.5594,121093.513,265368.9784,23181.95231,abs
7/1/2022,134325.5167,102359.0919,118486.7341,252812.2508,15838.78252,abs
8/1/2022,141518.8843,106661.3374,124231.3387,265750.2229,17287.54558,abs
9/1/2022,144249.6199,110446.3785,112410.396,256660.0159,31839.22391,abs
10/1/2022,131977.2377,101552.4318,113518.1373,245495.375,18459.10045,abs
11/1/2022,129693.9188,103512.5139,107890.4053,237584.3241,21803.5135,abs
12/1/2022,131606.256,105004.1401,103626.239,235232.495,27980.01697,abs
1/1/2023,112665.5034,86053.17264,94508.32219,207173.8256,18157.18125,abs
2/1/2023,112682.1268,87854.01799,92702.96547,205385.0922,19979.16129,abs
3/1/2023,129744.8315,102539.3039,104468.6541,234213.4856,25276.17737,abs
4/1/2023,105165.6603,80176.11157,93820.56319,198986.2235,11345.09707,abs
5/1/2023,119515.7711,93622.85732,104104.7051,223620.4762,15411.06596,abs
6/1/2023,123941.9588,93760.9897,94874.80184,218816.7606,29067.15692,abs
7/1/2023,116765.3647,89039.85429,99458.20633,216223.571,17307.15834,abs
8/1/2023,115180.7979,92098.63229,97850.4253,213031.2232,17330.37261,abs
9/1/2023,124334.0982,96724.63106,99936.52932,224270.6275,24397.56884,abs
10/1/2023,126151.6986,96392.11199,113187.2773,239338.9758,12964.42129,abs
11/1/2023,121603.9853,95539.67483,109500.9889,231104.9743,12102.9964,abs
12/1/2023,118446.908,97263.36727,106630.6016,225077.5096,11816.30636,abs
1/1/2024,122381.417,94760.15965,112237.9891,234619.4061,10143.42795,abs
2/1/2024,111445.133,91682.73706,100116.3649,211561.4979,11328.76802,abs
3/1/2024,128967.2416,104574.7251,115845.1424,244812.384,13122.0992,abs
4/1/2024,115155.1547,92181.22468,107087.7404,222242.8951,8067.4143,abs
5/1/2024,128099.507,105866.3281,118082.5149,246182.0219,10016.99209,abs
6/1/2024,126083.2744,100513.2587,111740.287,237823.5614,14342.98746,abs
7/1/2024,131503.1837,105427.4511,124715.533,256218.7167,6787.650704,abs
8/1/2024,129094.0876,106299.2884,122739.872,251833.9597,6354.215627,abs
9/1/2024,123629.8899,99997.06822,110790.0217,234419.9116,12839.8682,abs
10/1/2024,128223.6653,99528.07129,116269.4045,244493.0699,11954.26077,abs
